instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
10.54515;223.6433;194.7143;190.8148;2506;223.7080;197.9544;193.0713;4715;217.3292;190.2313;185.2794;5935;219.6208;191.5729;187.1936;6766;219.2437;192.2966;187.3833;12252;215.1041;218.4856;224.9310;204;39;242;242
10.58960;221.1234;189.6972;186.1492;2553;221.4052;192.8649;188.5621;4805;219.5319;193.3826;187.9861;5823;220.3280;192.0079;187.4161;6808;219.7161;192.2485;187.3695;12196;215.2794;219.1130;225.5875;204;39;242;242
10.61061;221.1234;189.6972;186.1492;2553;221.4052;192.8649;188.5621;4805;219.5319;193.3826;187.9861;5823;220.3280;192.0079;187.4161;6808;219.7161;192.2485;187.3695;12196;215.2794;219.1130;225.5875;204;39;242;242
10.65348;222.5037;193.3051;188.4420;2432;222.8058;196.3214;190.9228;4692;217.3699;190.2578;184.9934;5907;219.1908;191.1347;186.0357;6726;219.0120;191.7389;186.4872;12132;214.9952;219.2366;225.5338;204;39;242;242
10.67632;222.5037;193.3051;188.4420;2432;222.8058;196.3214;190.9228;4692;217.3699;190.2578;184.9934;5907;219.1908;191.1347;186.0357;6726;219.0120;191.7389;186.4872;12132;214.9952;219.2366;225.5338;204;39;242;242
10.71307;222.9425;193.3595;189.7065;2470;222.8876;196.0751;191.4124;4740;217.7918;191.6308;186.2503;5932;219.8017;192.1165;187.5281;6772;219.3488;192.6010;187.4711;12247;215.5746;219.9442;226.1298;204;39;242;242
10.76586;221.5071;189.9026;187.0795;2465;221.6802;192.9427;189.1696;4694;218.4807;192.1695;186.8023;5818;219.4192;191.0952;186.7149;6734;219.1825;191.5517;186.8248;12096;214.9308;218.7404;225.2205;204;40;242;242
10.80993;221.5071;189.9026;187.0795;2465;221.6802;192.9427;189.1696;4694;218.4807;192.1695;186.8023;5818;219.4192;191.0952;186.7149;6734;219.1825;191.5517;186.8248;12096;214.9308;218.7404;225.2205;204;40;242;242
10.83225;223.5132;194.8211;191.0850;2471;223.3071;197.4426;192.7837;4702;217.2832;189.9893;184.3972;5901;219.7823;191.7707;186.7999;6726;219.0766;192.0157;186.8964;12173;215.1707;218.7585;225.1442;203;40;242;242
10.87391;223.5132;194.8211;191.0850;2471;223.3071;197.4426;192.7837;4702;217.2832;189.9893;184.3972;5901;219.7823;191.7707;186.7999;6726;219.0766;192.0157;186.8964;12173;215.1707;218.7585;225.1442;203;40;242;242
